customer_name,customer_segment,region,state,city,product_name,category,sub_category,order_date,order_month,order_year,ship_date,ship_month,ship_year,delivery_time_in_days,ship_mode,sales,quantity,discount,discount_amount,cost,profit
Steve Nguyen,Home Office,South,Mississippi,Jackson,GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders,2013-05-16,5,2013,2013-05-21,5,2013,5,Standard Class,511.84,8,0.0,0.0,271.28,240.5648
Steve Nguyen,Home Office,South,Mississippi,Jackson,Boston KS Multi-Size Manual Pencil Sharpener,Office Supplies,Art,2013-05-16,5,2013,2013-05-21,5,2013,5,Standard Class,91.96,4,0.0,0.0,66.21,25.7488
Steve Nguyen,Home Office,South,Mississippi,Jackson,Newell 344,Office Supplies,Art,2013-05-16,5,2013,2013-05-21,5,2013,5,Standard Class,8.34,3,0.0,0.0,6.17,2.1684
Ruben Dartt,Consumer,West,Oregon,Portland,Hanging Personal Folder File,Office Supplies,Storage,2014-09-08,9,2014,2014-09-13,9,2014,5,Standard Class,37.68,3,0.2,7.54,35.33,2.355
Ruben Dartt,Consumer,West,Oregon,Portland,Logitech Wireless Marathon Mouse M705,Technology,Accessories,2014-09-08,9,2014,2014-09-13,9,2014,5,Standard Class,279.944,7,0.2,55.99,199.46,80.4839
Kean Thornton,Consumer,West,Colorado,Denver,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,2011-03-10,3,2011,2011-03-17,3,2011,7,Standard Class,636.408,3,0.2,127.28,652.32,-15.9102
Kean Thornton,Consumer,West,Colorado,Denver,"BOSTON Ranger #55 Pencil Sharpener, Black",Office Supplies,Art,2011-03-10,3,2011,2011-03-17,3,2011,7,Standard Class,83.168,4,0.2,16.63,73.81,9.3564
Adrian Hane,Home Office,West,Arizona,Tucson,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,2011-07-18,7,2011,2011-07-18,7,2011,0,Same Day,259.136,4,0.2,51.83,285.05,-25.9136
Brian Moss,Corporate,East,New York,New York City,Xerox 1888,Office Supplies,Paper,2014-03-25,3,2014,2014-03-29,3,2014,4,Second Class,221.92,4,0.0,0.0,115.4,106.5216
Brian Moss,Corporate,East,New York,New York City,Memorex Micro Travel Drive 8 GB,Technology,Accessories,2014-03-25,3,2014,2014-03-29,3,2014,4,Second Class,26.0,2,0.0,0.0,14.3,11.7
Ben Wallace,Consumer,South,Florida,Boynton Beach,Xerox 217,Office Supplies,Paper,2011-09-30,9,2011,2011-10-05,10,2011,5,Standard Class,15.552,3,0.2,3.11,10.11,5.4432
Henry Goldwyn,Corporate,Central,Texas,Mesquite,Acco 3-Hole Punch,Office Supplies,Binders,2011-09-26,9,2011,2011-09-26,9,2011,0,Same Day,0.876,1,0.8,0.7,2.28,-1.4016
Sandra Glassco,Consumer,West,California,Redlands,Xerox 191,Office Supplies,Paper,2012-10-31,10,2012,2012-10-31,10,2012,0,Same Day,19.98,1,0.0,0.0,10.59,9.3906
Sandra Glassco,Consumer,West,California,Redlands,GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders,2012-10-31,10,2012,2012-10-31,10,2012,0,Same Day,398.352,3,0.2,79.67,273.87,124.485
Sandra Glassco,Consumer,West,California,Redlands,Newell 308,Office Supplies,Art,2012-10-31,10,2012,2012-10-31,10,2012,0,Same Day,5.04,3,0.0,0.0,3.78,1.26
Sandra Glassco,Consumer,West,California,Redlands,OIC Bulk Pack Metal Binder Clips,Office Supplies,Fasteners,2012-10-31,10,2012,2012-10-31,10,2012,0,Same Day,17.45,5,0.0,0.0,9.42,8.027
Sandra Glassco,Consumer,West,California,Redlands,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,2012-10-31,10,2012,2012-10-31,10,2012,0,Same Day,323.136,4,0.2,64.63,302.94,20.196
Sandra Glassco,Consumer,West,California,Redlands,Acme Tagit Stainless Steel Antibacterial Scissors,Office Supplies,Supplies,2012-10-31,10,2012,2012-10-31,10,2012,0,Same Day,29.7,3,0.0,0.0,21.68,8.019
Sandra Glassco,Consumer,West,California,Redlands,Polycom SoundStation2 EX Conference phone,Technology,Phones,2012-10-31,10,2012,2012-10-31,10,2012,0,Same Day,1295.84,4,0.2,259.17,1150.06,145.782
Sandra Glassco,Consumer,West,California,Redlands,Mobile Personal File Cube,Office Supplies,Storage,2012-10-31,10,2012,2012-10-31,10,2012,0,Same Day,46.84,2,0.0,0.0,34.19,12.6468
Sandra Glassco,Consumer,West,California,Redlands,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,2012-10-31,10,2012,2012-10-31,10,2012,0,Same Day,425.833,1,0.15,63.87,405.79,20.0392
Ralph Kennedy,Consumer,East,New York,Rochester,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,Tables,2012-10-12,10,2012,2012-10-17,10,2012,5,Second Class,209.67,1,0.4,83.87,223.65,-13.978
Scot Wooten,Consumer,West,California,Stockton,"Xerox Color Copier Paper, 11"" x 17"", Ream",Office Supplies,Paper,2013-09-20,9,2013,2013-09-24,9,2013,4,Standard Class,159.88,7,0.0,0.0,86.34,73.5448
Rob Williams,Corporate,West,Washington,Seattle,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,2014-04-14,4,2014,2014-04-16,4,2014,2,First Class,5.28,1,0.0,0.0,2.9,2.376
Rob Williams,Corporate,West,Washington,Seattle,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,2014-04-14,4,2014,2014-04-16,4,2014,2,First Class,895.92,5,0.2,179.18,593.55,302.373
Thais Sissman,Consumer,South,Florida,Ormond Beach,Zipper Ring Binder Pockets,Office Supplies,Binders,2014-01-08,1,2014,2014-01-14,1,2014,6,Standard Class,2.808,3,0.7,1.97,4.77,-1.9656
Jennifer Braxton,Corporate,West,California,Sunnyvale,"Global Leather Task Chair, Black",Furniture,Chairs,2014-11-10,11,2014,2014-11-12,11,2014,2,First Class,215.976,3,0.2,43.2,218.68,-2.6997
Erica Hernandez,Home Office,Central,Michigan,Lansing,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,2014-09-23,9,2014,2014-09-25,9,2014,2,Second Class,241.96,2,0.0,0.0,200.83,41.1332
Erica Hernandez,Home Office,Central,Michigan,Lansing,Avery 511,Office Supplies,Labels,2014-09-23,9,2014,2014-09-25,9,2014,2,Second Class,27.72,9,0.0,0.0,14.41,13.3056
Erica Hernandez,Home Office,East,Pennsylvania,Philadelphia,Quality Park Security Envelopes,Office Supplies,Envelopes,2014-12-02,12,2014,2014-12-06,12,2014,4,Standard Class,104.68,5,0.2,20.94,69.35,35.3295
Erica Hernandez,Home Office,East,Pennsylvania,Philadelphia,"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",Technology,Phones,2014-12-02,12,2014,2014-12-06,12,2014,4,Standard Class,62.958,7,0.4,25.18,53.51,9.4437
Brian Stugart,Consumer,East,Pennsylvania,Philadelphia,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,2011-06-23,6,2011,2011-06-28,6,2011,5,Standard Class,86.376,3,0.2,17.28,85.3,1.0797
Julie Kriz,Home Office,East,Pennsylvania,Philadelphia,"DataProducts Ampli Magnifier Task Lamp, Black,",Furniture,Furnishings,2012-10-04,10,2012,2012-10-09,10,2012,5,Standard Class,64.944,3,0.2,12.99,58.45,6.4944
Julie Kriz,Home Office,East,Pennsylvania,Philadelphia,Xerox 1946,Office Supplies,Paper,2012-10-04,10,2012,2012-10-09,10,2012,5,Standard Class,20.736,4,0.2,4.15,13.48,7.2576
Randy Ferguson,Corporate,East,New Hampshire,Dover,Acco 6 Outlet Guardian Basic Surge Suppressor,Office Supplies,Appliances,2011-05-20,5,2011,2011-05-22,5,2011,2,Second Class,33.28,4,0.0,0.0,23.96,9.3184
Randy Ferguson,Corporate,East,New Hampshire,Dover,"Sanford Colorific Scented Colored Pencils, 12/Pack",Office Supplies,Art,2011-05-20,5,2011,2011-05-22,5,2011,2,Second Class,38.52,9,0.0,0.0,26.58,11.9412
Randy Ferguson,Corporate,East,New Hampshire,Dover,24-Hour Round Wall Clock,Furniture,Furnishings,2011-05-20,5,2011,2011-05-22,5,2011,2,Second Class,139.86,7,0.0,0.0,79.72,60.1398
Dan Lawera,Consumer,East,New York,New York City,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",Office Supplies,Paper,2012-11-20,11,2012,2012-11-26,11,2012,6,Standard Class,19.65,3,0.0,0.0,10.61,9.039
William Brown,Consumer,East,Pennsylvania,Philadelphia,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,2012-11-30,11,2012,2012-12-04,12,2012,4,Standard Class,152.991,3,0.7,107.09,275.38,-122.3928
William Brown,Consumer,East,Pennsylvania,Philadelphia,Revere Boxed Rubber Bands by Revere,Office Supplies,Fasteners,2012-11-30,11,2012,2012-12-04,12,2012,4,Standard Class,10.584,7,0.2,2.12,12.97,-2.3814
William Brown,Consumer,East,Pennsylvania,Philadelphia,Motorla HX550 Universal Bluetooth Headset,Technology,Phones,2012-11-30,11,2012,2012-12-04,12,2012,4,Standard Class,94.92,4,0.4,37.97,79.1,15.82
Trudy Brown,Consumer,Central,Texas,Grand Prairie,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,2012-12-31,12,2012,2013-01-05,1,2013,5,Standard Class,14.76,5,0.6,8.86,26.2,-11.439
Trudy Brown,Consumer,Central,Texas,Grand Prairie,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Office Supplies,Binders,2012-12-31,12,2012,2013-01-05,1,2013,5,Standard Class,3.656,4,0.8,2.92,9.51,-5.8496
Christy Brittain,Consumer,East,New York,New York City,Tops Green Bar Computer Printout Paper,Office Supplies,Paper,2014-11-17,11,2014,2014-11-17,11,2014,0,Same Day,146.82,3,0.0,0.0,73.41,73.41
Grant Thornton,Corporate,East,New York,Long Beach,Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,2011-06-06,6,2011,2011-06-11,6,2011,5,Standard Class,149.544,9,0.2,29.91,99.07,50.4711
Grant Thornton,Corporate,East,New York,Long Beach,Acme Office Executive Series Stainless Steel Trimmers,Office Supplies,Supplies,2011-06-06,6,2011,2011-06-11,6,2011,5,Standard Class,17.14,2,0.0,0.0,12.68,4.4564
Grant Thornton,Corporate,East,New York,Long Beach,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,Tables,2011-06-06,6,2011,2011-06-11,6,2011,5,Standard Class,991.764,3,0.4,396.71,1338.88,-347.1174
Dean Katz,Corporate,East,Pennsylvania,Philadelphia,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,2013-09-02,9,2013,2013-09-06,9,2013,4,Standard Class,30.48,6,0.2,6.1,20.57,9.906
Dean Katz,Corporate,East,Pennsylvania,Philadelphia,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,2013-09-02,9,2013,2013-09-06,9,2013,4,Standard Class,23.988,2,0.4,9.6,28.79,-4.7976
Dean Katz,Corporate,East,Pennsylvania,Philadelphia,Staples,Office Supplies,Fasteners,2013-09-02,9,2013,2013-09-06,9,2013,4,Standard Class,16.688,7,0.2,3.34,11.26,5.4236
Theresa Swint,Corporate,East,Pennsylvania,York,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,2013-06-26,6,2013,2013-06-30,6,2013,4,Standard Class,422.058,3,0.3,126.62,440.15,-18.0882
Theresa Swint,Corporate,East,Pennsylvania,York,GBC Wire Binding Strips,Office Supplies,Binders,2013-06-26,6,2013,2013-06-30,6,2013,4,Standard Class,38.088,4,0.7,26.66,66.02,-27.9312
Theresa Swint,Corporate,East,Pennsylvania,York,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,2013-06-26,6,2013,2013-06-30,6,2013,4,Standard Class,254.352,6,0.2,50.87,305.22,-50.8704
William Brown,Consumer,West,California,Concord,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,2011-12-12,12,2011,2011-12-17,12,2011,5,Standard Class,43.31,1,0.0,0.0,38.98,4.331
Denny Ordway,Consumer,East,New York,New York City,Spigen Samsung Galaxy S5 Case Wallet,Technology,Phones,2014-04-01,4,2014,2014-04-06,4,2014,5,Standard Class,84.95,5,0.0,0.0,62.86,22.087
Art Ferguson,Consumer,Central,Texas,College Station,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,2014-11-20,11,2014,2014-11-27,11,2014,7,Standard Class,233.058,3,0.3,69.92,286.33,-53.2704
Richard Bierner,Consumer,Central,Missouri,Saint Louis,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Technology,Accessories,2011-11-24,11,2011,2011-11-29,11,2011,5,Second Class,111.79,7,0.0,0.0,68.19,43.5981
Andy Reiter,Consumer,East,Massachusetts,Quincy,Xerox 1970,Office Supplies,Paper,2012-11-22,11,2012,2012-11-26,11,2012,4,Standard Class,14.94,3,0.0,0.0,7.92,7.0218
Dan Reichenbach,Corporate,East,New York,New York City,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders,2013-07-15,7,2013,2013-07-19,7,2013,4,Standard Class,14.16,2,0.2,2.83,9.03,5.133
Ben Ferrer,Home Office,Central,Texas,Dallas,Flat Face Poster Frame,Furniture,Furnishings,2013-05-01,5,2013,2013-05-06,5,2013,5,Standard Class,22.608,3,0.6,13.56,32.78,-10.1736
Larry Blacks,Consumer,West,California,Los Angeles,OIC Binder Clips,Office Supplies,Fasteners,2013-07-26,7,2013,2013-07-28,7,2013,2,Second Class,21.48,6,0.0,0.0,10.74,10.74
Dianna Vittorini,Consumer,Central,Minnesota,Minneapolis,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,Storage,2011-06-22,6,2011,2011-06-24,6,2011,2,First Class,501.81,3,0.0,0.0,501.81,0.0
Dianna Vittorini,Consumer,Central,Minnesota,Minneapolis,Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,2011-06-22,6,2011,2011-06-24,6,2011,2,First Class,161.94,3,0.0,0.0,152.22,9.7164
Neil Knudson,Home Office,South,Florida,Deltona,Newell 33,Office Supplies,Art,2014-10-22,10,2014,2014-10-27,10,2014,5,Standard Class,17.856,4,0.2,3.57,15.85,2.0088
Carlos Soltero,Consumer,Central,Illinois,Chicago,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",Office Supplies,Binders,2013-09-04,9,2013,2013-09-10,9,2013,6,Standard Class,8.808,3,0.8,7.05,23.78,-14.9736
Logan Haushalter,Consumer,East,Ohio,Cincinnati,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Furnishings,2013-05-15,5,2013,2013-05-15,5,2013,0,Same Day,79.384,1,0.2,15.88,49.62,29.769
Dianna Wilson,Home Office,West,California,Oakland,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Office Supplies,Art,2013-01-07,1,2013,2013-01-12,1,2013,5,Standard Class,34.58,1,0.0,0.0,24.55,10.0282
Karen Ferguson,Home Office,West,California,Manteca,Multicolor Computer Printout Paper,Office Supplies,Paper,2014-03-14,3,2014,2014-03-20,3,2014,6,Standard Class,314.55,3,0.0,0.0,163.57,150.984
Helen Andreada,Consumer,Central,Texas,Laredo,Razer Kraken PRO Over Ear PC and Music Headset,Technology,Accessories,2013-10-14,10,2013,2013-10-20,10,2013,6,Standard Class,191.976,3,0.2,38.4,167.98,23.997
Helen Andreada,Consumer,Central,Texas,Laredo,Array Memo Cubes,Office Supplies,Paper,2013-10-14,10,2013,2013-10-20,10,2013,6,Standard Class,8.288,2,0.2,1.66,5.28,3.0044
Helen Andreada,Consumer,Central,Texas,Laredo,"Tenex ""The Solids"" Textured Chair Mats",Furniture,Furnishings,2013-10-14,10,2013,2013-10-20,10,2013,6,Standard Class,139.92,5,0.6,83.95,290.33,-150.414
Helen Andreada,Consumer,Central,Texas,Laredo,Newell 334,Office Supplies,Art,2013-10-14,10,2013,2013-10-20,10,2013,6,Standard Class,15.872,1,0.2,3.17,14.68,1.1904
Helen Andreada,Consumer,Central,Texas,Laredo,Avery Non-Stick Binders,Office Supplies,Binders,2013-10-14,10,2013,2013-10-20,10,2013,6,Standard Class,6.286,7,0.8,5.03,17.29,-11.0005
John Huston,Consumer,East,Ohio,Kent,Newell 312,Office Supplies,Art,2014-01-28,1,2014,2014-01-31,1,2014,3,Second Class,14.016,3,0.2,2.8,12.26,1.752
John Huston,Consumer,East,Ohio,Kent,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,Technology,Accessories,2014-01-28,1,2014,2014-01-31,1,2014,3,Second Class,71.976,3,0.2,14.4,80.97,-8.997
John Huston,Consumer,East,Ohio,Kent,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,2014-01-28,1,2014,2014-01-31,1,2014,3,Second Class,107.982,3,0.4,43.19,134.98,-26.9955
Linda Cazamias,Corporate,Central,Texas,San Angelo,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,2014-11-20,11,2014,2014-11-26,11,2014,6,Standard Class,305.312,2,0.3,91.59,314.04,-8.7232
Ivan Liston,Consumer,West,California,San Francisco,Wilson Jones data.warehouse D-Ring Binders with DublLock,Office Supplies,Binders,2011-08-01,8,2011,2011-08-03,8,2011,2,First Class,19.752,3,0.2,3.95,12.84,6.9132
Lindsay Shagiari,Home Office,Central,Texas,Houston,GBC VeloBind Cover Sets,Office Supplies,Binders,2013-07-31,7,2013,2013-08-05,8,2013,5,Standard Class,9.264,3,0.8,7.41,23.16,-13.896
Corey Catlett,Corporate,Central,Texas,Houston,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,Office Supplies,Storage,2012-07-30,7,2012,2012-08-03,8,2012,4,Second Class,61.792,4,0.2,12.36,55.61,6.1792
Patrick Bzostek,Home Office,West,Utah,Salt Lake City,Xerox 1982,Office Supplies,Paper,2013-10-16,10,2013,2013-10-22,10,2013,6,Standard Class,45.68,2,0.0,0.0,24.67,21.0128
Patrick Bzostek,Home Office,West,Utah,Salt Lake City,Xerox 1986,Office Supplies,Paper,2013-10-16,10,2013,2013-10-22,10,2013,6,Standard Class,60.12,9,0.0,0.0,31.26,28.8576
Patrick Bzostek,Home Office,West,Utah,Salt Lake City,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Office Supplies,Binders,2013-10-16,10,2013,2013-10-22,10,2013,6,Standard Class,41.72,5,0.2,8.34,28.68,13.0375
Patrick Bzostek,Home Office,West,Utah,Salt Lake City,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Office Supplies,Paper,2013-10-16,10,2013,2013-10-22,10,2013,6,Standard Class,71.6,8,0.0,0.0,38.66,32.936
Caroline Jumper,Consumer,East,New York,New York City,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,2013-05-08,5,2013,2013-05-12,5,2013,4,Standard Class,85.232,7,0.2,17.05,54.34,30.8966
Caroline Jumper,Consumer,East,New York,New York City,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,2013-05-08,5,2013,2013-05-12,5,2013,4,Standard Class,44.4,3,0.0,0.0,22.2,22.2
Caroline Jumper,Consumer,East,New York,New York City,Hon Mobius Operator's Chair,Furniture,Chairs,2013-05-08,5,2013,2013-05-12,5,2013,4,Standard Class,442.764,4,0.1,44.28,383.73,59.0352
Caroline Jumper,Consumer,East,New York,New York City,Bady BDG101FRU Card Printer,Technology,Machines,2013-05-08,5,2013,2013-05-12,5,2013,4,Standard Class,3999.95,5,0.0,0.0,2839.96,1159.9855
Caroline Jumper,Consumer,East,New York,New York City,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,2013-05-08,5,2013,2013-05-12,5,2013,4,Standard Class,199.95,5,0.0,0.0,177.96,21.9945
Caroline Jumper,Consumer,East,New York,New York City,Staples,Furniture,Furnishings,2013-05-08,5,2013,2013-05-12,5,2013,4,Standard Class,63.68,8,0.0,0.0,35.66,28.0192
Heather Kirkland,Corporate,West,California,Salinas,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,2014-08-02,8,2014,2014-08-05,8,2014,3,Second Class,54.896,2,0.2,10.98,36.37,18.5274
Rob Haberlin,Consumer,South,Alabama,Huntsville,HP Standard 104 key PS/2 Keyboard,Technology,Accessories,2013-07-15,7,2013,2013-07-15,7,2013,0,Same Day,29.0,2,0.0,0.0,21.75,7.25
Ivan Liston,Consumer,Central,Indiana,Columbus,Staples,Office Supplies,Envelopes,2014-08-11,8,2014,2014-08-16,8,2014,5,Standard Class,70.08,6,0.0,0.0,35.04,35.04
Ivan Liston,Consumer,Central,Indiana,Columbus,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,2014-08-11,8,2014,2014-08-16,8,2014,5,Standard Class,121.3,2,0.0,0.0,95.83,25.473
Ivan Liston,Consumer,Central,Indiana,Columbus,Aastra 57i VoIP phone,Technology,Phones,2014-08-11,8,2014,2014-08-16,8,2014,5,Standard Class,1454.49,9,0.0,0.0,1076.32,378.1674
Alan Shonely,Consumer,West,California,Los Angeles,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,Appliances,2013-06-26,6,2013,2013-06-30,6,2013,4,Standard Class,60.81,3,0.0,0.0,43.78,17.0268
Arthur Prichep,Consumer,West,Washington,Seattle,GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders,2013-12-11,12,2013,2013-12-18,12,2013,7,Standard Class,153.552,3,0.2,30.71,101.73,51.8238
Arthur Prichep,Consumer,West,Washington,Seattle,Holmes HEPA Air Purifier,Office Supplies,Appliances,2013-12-11,12,2013,2013-12-18,12,2013,7,Standard Class,65.34,3,0.0,0.0,42.47,22.869
Arthur Prichep,Consumer,West,Washington,Seattle,Xerox 1988,Office Supplies,Paper,2013-12-11,12,2013,2013-12-18,12,2013,7,Standard Class,123.92,4,0.0,0.0,68.16,55.764
Arthur Prichep,Consumer,West,Washington,Seattle,Harmony HEPA Quiet Air Purifiers,Office Supplies,Appliances,2013-12-11,12,2013,2013-12-18,12,2013,7,Standard Class,35.1,3,0.0,0.0,22.82,12.285
Arthur Prichep,Consumer,West,Washington,Seattle,Kingston Digital DataTraveler 16GB USB 2.0,Technology,Accessories,2013-12-11,12,2013,2013-12-18,12,2013,7,Standard Class,44.75,5,0.0,0.0,36.25,8.5025
Allen Goldenen,Consumer,South,Tennessee,Knoxville,Newell 343,Office Supplies,Art,2013-12-02,12,2013,2013-12-07,12,2013,5,Standard Class,4.704,2,0.2,0.94,4.29,0.4116
Bart Folk,Consumer,South,Alabama,Montgomery,Newell 331,Office Supplies,Art,2011-11-28,11,2011,2011-12-04,12,2011,6,Standard Class,14.67,3,0.0,0.0,10.71,3.9609
Chloris Kastensmidt,Consumer,East,Pennsylvania,Philadelphia,Xerox 1999,Office Supplies,Paper,2012-03-28,3,2012,2012-04-02,4,2012,5,Standard Class,15.552,3,0.2,3.11,10.11,5.4432
Chloris Kastensmidt,Consumer,East,Pennsylvania,Philadelphia,Southworth Parchment Paper & Envelopes,Office Supplies,Paper,2012-03-28,3,2012,2012-04-02,4,2012,5,Standard Class,5.232,1,0.2,1.05,3.53,1.7004
Liz Thompson,Consumer,South,Arkansas,Little Rock,3M Hangers With Command Adhesive,Furniture,Furnishings,2011-06-01,6,2011,2011-06-06,6,2011,5,Standard Class,22.2,6,0.0,0.0,13.1,9.102
Liz Thompson,Consumer,South,Arkansas,Little Rock,Adtran 1202752G1,Technology,Phones,2011-06-01,6,2011,2011-06-06,6,2011,5,Standard Class,881.93,7,0.0,0.0,652.63,229.3018
Beth Thompson,Home Office,West,Washington,Seattle,Acco Hanging Data Binders,Office Supplies,Binders,2012-09-06,9,2012,2012-09-12,9,2012,6,Standard Class,6.096,2,0.2,1.22,3.96,2.1336
Beth Thompson,Home Office,West,Washington,Seattle,"Howard Miller 16"" Diameter Gallery Wall Clock",Furniture,Furnishings,2012-09-06,9,2012,2012-09-12,9,2012,6,Standard Class,191.82,3,0.0,0.0,117.01,74.8098
Steven Cartwright,Consumer,East,Pennsylvania,Lancaster,"Eldon Executive Woodline II Desk Accessories, Mahogany",Furniture,Furnishings,2012-06-29,6,2012,2012-07-05,7,2012,6,Standard Class,20.104,1,0.2,4.02,18.34,1.7591
Catherine Glotzbach,Home Office,South,Tennessee,Bristol,"Boston Model 1800 Electric Pencil Sharpener, Gray",Office Supplies,Art,2013-09-11,9,2013,2013-09-13,9,2013,2,Second Class,67.56,3,0.2,13.51,59.12,8.445
Arthur Wiediger,Home Office,Central,Illinois,Aurora,Acco D-Ring Binder w/DublLock,Office Supplies,Binders,2011-07-14,7,2011,2011-07-20,7,2011,6,Standard Class,29.932,7,0.8,23.95,76.33,-46.3946
Arthur Wiediger,Home Office,Central,Illinois,Aurora,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,2011-07-14,7,2011,2011-07-20,7,2011,6,Standard Class,38.272,4,0.2,7.65,34.44,3.8272
Roger Barcio,Home Office,East,New York,New York City,Newell Chalk Holder,Office Supplies,Art,2012-08-22,8,2012,2012-08-26,8,2012,4,Standard Class,16.52,4,0.0,0.0,8.92,7.5992
Maris LaWare,Consumer,East,Connecticut,Fairfield,Polycom SoundPoint Pro SE-225 Corded phone,Technology,Phones,2011-11-14,11,2011,2011-11-16,11,2011,2,Second Class,832.93,7,0.0,0.0,599.71,233.2204
Maris LaWare,Consumer,East,Connecticut,Fairfield,Acco 3-Hole Punch,Office Supplies,Binders,2011-11-14,11,2011,2011-11-16,11,2011,2,Second Class,43.8,10,0.0,0.0,22.78,21.024
Victoria Brennan,Corporate,Central,Michigan,Lincoln Park,Euro-Pro Shark Turbo Vacuum,Office Supplies,Appliances,2013-11-28,11,2013,2013-12-01,12,2013,3,First Class,167.292,6,0.1,16.73,137.55,29.7408
Scott Williamson,Consumer,East,New York,New York City,Howard Miller Distant Time Traveler Alarm Clock,Furniture,Furnishings,2014-11-22,11,2014,2014-11-26,11,2014,4,Standard Class,27.42,1,0.0,0.0,16.18,11.2422
Neola Schneider,Consumer,West,California,San Jose,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,Binders,2014-10-02,10,2014,2014-10-03,10,2014,1,First Class,1.44,1,0.2,0.29,0.94,0.504
Neola Schneider,Consumer,West,California,San Jose,Storex Dura Pro Binders,Office Supplies,Binders,2014-10-02,10,2014,2014-10-03,10,2014,1,First Class,61.776,13,0.2,12.36,40.93,20.8494
Neola Schneider,Consumer,West,California,San Jose,"Belkin 325VA UPS Surge Protector, 6'",Office Supplies,Appliances,2014-10-02,10,2014,2014-10-03,10,2014,1,First Class,241.96,2,0.0,0.0,181.47,60.49
Neola Schneider,Consumer,West,California,San Jose,"Metal Folding Chairs, Beige, 4/Carton",Furniture,Chairs,2014-10-02,10,2014,2014-10-03,10,2014,1,First Class,108.608,4,0.2,21.72,99.1,9.5032
Dorothy Badders,Corporate,South,Florida,Jacksonville,Nontoxic Chalk,Office Supplies,Art,2011-09-20,9,2011,2011-09-25,9,2011,5,Standard Class,2.816,2,0.2,0.56,1.83,0.9856
Matt Hagelstein,Corporate,West,California,San Francisco,Zipper Ring Binder Pockets,Office Supplies,Binders,2014-07-29,7,2014,2014-08-02,8,2014,4,Standard Class,9.984,4,0.2,2.0,6.36,3.6192
